Epochs,Learning Rate,Batch Size,Training Time,Accuracy
10,0.01,100,6.951658248901367,0.8655
10,0.001,100,7.468806982040405,0.8632
10,0.01,10,30.596277952194214,0.9301
10,0.001,10,30.149229288101196,0.9163
20,0.01,100,15.142627239227295,0.8616
20,0.001,100,14.971083164215088,0.8637
20,0.01,10,60.75761318206787,0.9377
20,0.001,10,60.069151878356934,0.9246
100,0.01,100,77.50421261787415,0.8615
100,0.001,100,75.37575554847717,0.8623
100,0.01,10,301.53025221824646,0.9376
100,0.001,10,303.82533025741577,0.934
